               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.075839,             0.02281,                   0,                0.13,             0.53333,            0.095748,            0.031325,            0.072185,            0.022726,                   0,          0.00035903,          0.00035903,            0.096659
                  38,             0.07333,            0.024898,                   0,             0.17146,             0.53333,             0.11348,            0.036892,            0.072093,            0.022614,                   0,          0.00036812,          0.00036812,            0.096568
                  39,            0.071081,             0.02465,                   0,             0.18975,                 0.4,             0.10744,            0.034864,            0.071012,            0.022766,                   0,          0.00037717,          0.00037717,            0.096477
                  40,            0.071715,            0.022132,                   0,             0.21934,             0.46667,             0.16557,            0.070667,            0.068447,             0.02292,                   0,          0.00038617,          0.00038617,            0.096386
                  41,            0.071877,            0.036232,                   0,             0.28106,             0.52161,             0.19639,            0.066527,            0.068352,            0.022579,                   0,          0.00039511,          0.00039511,            0.096295
                  42,            0.067282,            0.029881,                   0,              0.3188,             0.53333,              0.2271,            0.067449,            0.067141,            0.022627,                   0,          0.00040401,          0.00040401,            0.096204
                  43,            0.066619,            0.026273,                   0,             0.31797,             0.46624,             0.20757,            0.057468,            0.067465,            0.022473,                   0,          0.00041285,          0.00041285,            0.096113
                  44,            0.064603,             0.02255,                   0,             0.25477,                 0.6,             0.20443,            0.066375,            0.065747,             0.02288,                   0,          0.00042165,          0.00042165,            0.096022
                  45,            0.063593,            0.032939,                   0,             0.32942,             0.46667,             0.22697,            0.080065,            0.065903,             0.02245,                   0,          0.00043038,          0.00043038,             0.09593
                  46,            0.055516,            0.027697,                   0,               0.183,             0.32868,             0.13357,            0.036713,            0.065513,            0.022439,                   0,          0.00043906,          0.00043906,            0.095839
                  47,            0.068412,            0.035219,                   0,             0.35214,             0.72498,             0.33882,             0.16168,            0.059407,            0.023365,                   0,          0.00044769,          0.00044769,            0.095748
                  48,             0.06181,            0.033242,                   0,             0.15047,             0.46667,             0.11747,            0.028484,            0.064055,            0.022384,                   0,          0.00045625,          0.00045625,            0.095656
                  49,            0.055533,            0.032344,                   0,             0.48345,             0.66667,              0.4634,             0.19107,            0.058235,            0.023488,                   0,          0.00046476,          0.00046476,            0.095565
                  50,             0.04904,            0.027016,                   0,             0.23127,             0.53333,              0.2049,            0.046927,            0.060429,            0.022909,                   0,          0.00047321,          0.00047321,            0.095473
                  51,            0.061135,            0.028273,                   0,             0.50318,                 0.6,             0.51819,             0.18641,            0.057019,            0.023183,                   0,          0.00048159,          0.00048159,            0.095382
                  52,            0.062493,            0.028013,                   0,             0.24839,             0.53333,             0.25553,            0.066282,            0.060167,            0.022393,                   0,          0.00048992,          0.00048992,             0.09529
                  53,            0.062218,            0.022862,                   0,             0.65838,              0.5151,               0.529,             0.13527,             0.05711,            0.022731,                   0,          0.00049818,          0.00049818,            0.095198
                  54,            0.061284,            0.030796,                   0,             0.57617,             0.46667,                0.48,             0.11932,            0.058093,            0.022614,                   0,          0.00050637,          0.00050637,            0.095106
                  55,            0.060403,            0.025644,                   0,             0.72683,             0.53225,             0.57823,             0.17031,            0.054401,            0.023165,                   0,          0.00051451,          0.00051451,            0.095015
                  56,            0.049622,            0.024759,                   0,             0.27751,             0.66667,               0.304,             0.05164,            0.056941,            0.022634,                   0,          0.00052257,          0.00052257,            0.094923
                  57,            0.048555,            0.022866,                   0,             0.79585,             0.53333,             0.57592,            0.096795,            0.057805,            0.022707,                   0,          0.00053057,          0.00053057,            0.094831
                  58,            0.055703,            0.026607,                   0,             0.81034,             0.66667,             0.73476,             0.37777,            0.052999,            0.023318,                   0,          0.00053851,          0.00053851,            0.094739
                  59,            0.057874,            0.029389,                   0,             0.42769,             0.59794,             0.42806,             0.10112,            0.057746,            0.022305,                   0,          0.00054637,          0.00054637,            0.094646
                  60,            0.057583,            0.021304,                   0,             0.64246,             0.59904,             0.60274,            0.084771,            0.056334,            0.022657,                   0,          0.00055416,          0.00055416,            0.094554
                  61,            0.055353,            0.030068,                   0,             0.43943,             0.53333,             0.42154,              0.1265,             0.05324,            0.022643,                   0,          0.00056189,          0.00056189,            0.094462
                  62,            0.045039,            0.023513,                   0,              0.8144,                 0.6,             0.69251,             0.17743,             0.05742,            0.022058,                   0,          0.00056954,          0.00056954,             0.09437
                  63,            0.064891,             0.02406,                   0,                   1,             0.59883,             0.73712,             0.31933,            0.051433,             0.02272,                   0,          0.00057712,          0.00057712,            0.094277
                  64,            0.048851,              0.0327,                   0,             0.99704,                 0.6,              0.7797,             0.31016,            0.049164,            0.022856,                   0,          0.00058463,          0.00058463,            0.094185
                  65,            0.049983,            0.026571,                   0,             0.34732,             0.53219,             0.25463,            0.040082,             0.05653,            0.022013,                   0,          0.00059206,          0.00059206,            0.094092
                  66,             0.06043,            0.025052,                   0,             0.99913,                 0.6,             0.81281,             0.31395,            0.050659,            0.022208,                   0,          0.00059942,          0.00059942,            0.093999
                  67,            0.056368,            0.021317,                   0,             0.36253,             0.53333,              0.2854,            0.050908,            0.052495,            0.022348,                   0,           0.0006067,           0.0006067,            0.093907
                  68,             0.05244,            0.025165,                   0,             0.84267,             0.73333,             0.81061,              0.2558,            0.050946,            0.022546,                   0,           0.0006139,           0.0006139,            0.093814
                  69,             0.04732,            0.024704,                   0,             0.89996,             0.59975,             0.77217,             0.32561,            0.052065,            0.022246,                   0,          0.00062103,          0.00062103,            0.093721
                  70,            0.046334,            0.027716,                   0,              0.3068,             0.53333,              0.2612,            0.041143,            0.054556,            0.021863,                   0,          0.00062808,          0.00062808,            0.093628
                  71,            0.043152,            0.026892,                   0,              0.7117,             0.33333,             0.33203,             0.06801,            0.055475,            0.021527,                   0,          0.00063505,          0.00063505,            0.093535
                  72,            0.051472,            0.026072,                   0,                   1,             0.59929,             0.78756,             0.43825,            0.048155,            0.021895,                   0,          0.00064194,          0.00064194,            0.093442
                  73,            0.047821,            0.022502,                   0,             0.30756,             0.53302,              0.1991,            0.050966,            0.055184,            0.021607,                   0,          0.00064875,          0.00064875,            0.093349
                  74,            0.053148,            0.025525,                   0,             0.64796,             0.86667,             0.80386,             0.38181,            0.049109,            0.021538,                   0,          0.00065548,          0.00065548,            0.093255
                  75,            0.058338,            0.026708,                   0,              0.6249,                 0.8,             0.72567,             0.21623,            0.049036,            0.021556,                   0,          0.00066213,          0.00066213,            0.093162
                  76,            0.050715,            0.029511,                   0,             0.47219,             0.73333,             0.51548,             0.13105,            0.051732,            0.020823,                   0,           0.0006687,           0.0006687,            0.093069
                  77,            0.054258,            0.032964,                   0,             0.66447,                 0.8,             0.79293,             0.15691,            0.049988,            0.021041,                   0,          0.00067518,          0.00067518,            0.092975
                  78,            0.050261,            0.031233,                   0,             0.45776,             0.73333,             0.56298,             0.15301,            0.049023,            0.020993,                   0,          0.00068158,          0.00068158,            0.092882
                  79,            0.044042,            0.019733,                   0,             0.62998,                 0.8,             0.77746,              0.3876,            0.050826,            0.020419,                   0,          0.00068789,          0.00068789,            0.092788
                  80,               0.049,            0.027762,                   0,             0.85362,                 0.8,             0.83019,             0.37487,            0.045847,            0.020672,                   0,          0.00069412,          0.00069412,            0.092694
                  81,            0.046449,            0.022755,                   0,             0.80098,                 0.6,              0.7503,             0.22892,            0.054633,            0.019316,                   0,          0.00070027,          0.00070027,              0.0926
                  82,            0.050505,            0.026962,                   0,             0.74882,                 0.8,             0.81416,              0.2992,            0.045866,            0.020093,                   0,          0.00070632,          0.00070632,            0.092506
                  83,            0.039601,            0.024336,                   0,             0.52373,             0.73333,             0.55354,             0.18732,            0.054899,            0.019009,                   0,          0.00071229,          0.00071229,            0.092412
                  84,            0.043246,            0.018262,                   0,             0.83303,             0.66534,             0.72898,             0.22323,            0.048202,            0.019636,                   0,          0.00071817,          0.00071817,            0.092318
                  85,            0.050969,            0.020264,                   0,             0.76449,             0.66667,             0.65169,             0.14755,            0.054071,            0.019366,                   0,          0.00072397,          0.00072397,            0.092224
                  86,            0.050409,            0.026466,                   0,             0.83045,             0.66667,             0.72664,             0.21246,             0.04775,             0.01972,                   0,          0.00072967,          0.00072967,             0.09213
                  87,            0.048126,            0.024086,                   0,             0.42197,                 0.8,             0.42369,            0.079981,            0.054284,            0.019179,                   0,          0.00073529,          0.00073529,            0.092035
                  88,            0.055189,            0.022472,                   0,               0.916,             0.73333,             0.88235,              0.4631,            0.043892,             0.02035,                   0,          0.00074082,          0.00074082,            0.091941
                  89,            0.055499,            0.028044,                   0,             0.26371,             0.53333,             0.21239,            0.051419,            0.059833,             0.01864,                   0,          0.00074626,          0.00074626,            0.091846
                  90,            0.054777,            0.017584,                   0,             0.83325,             0.66632,             0.76569,             0.43491,            0.045058,            0.019885,                   0,           0.0007516,           0.0007516,            0.091752
                  91,            0.039513,            0.021281,                   0,               0.999,             0.66667,             0.82246,             0.30765,            0.047403,             0.01984,                   0,          0.00075686,          0.00075686,            0.091657
                  92,             0.04441,            0.025045,                   0,             0.99851,             0.66667,             0.79181,             0.32303,            0.047208,            0.019868,                   0,          0.00076202,          0.00076202,            0.091562
                  93,             0.05242,            0.029074,                   0,             0.60799,             0.93068,              0.8073,             0.44093,            0.047162,            0.019393,                   0,           0.0007671,           0.0007671,            0.091467
                  94,            0.044937,            0.018616,                   0,              0.8569,              0.7985,             0.84974,             0.52628,            0.042544,            0.019952,                   0,          0.00077208,          0.00077208,            0.091372
                  95,            0.042162,            0.023456,                   0,             0.41502,             0.66667,             0.48105,             0.11817,            0.051433,            0.018678,                   0,          0.00077696,          0.00077696,            0.091277
                  96,            0.049638,            0.026317,                   0,             0.93095,             0.93333,             0.96167,             0.62398,            0.040656,            0.018653,                   0,          0.00078176,          0.00078176,            0.091182
